PlaneID	Status		Request Time		Runway Time		Turnaround Time
	2		L		21:21:5				21:21:6			1
	1		D		21:21:4				21:21:8			4
	7		L		21:21:10				21:21:10			0
	3		D		21:21:6				21:21:12			6
	4		D		21:21:7				21:21:14			7
	5		D		21:21:8				21:21:16			8
	6		D		21:21:9				21:21:18			9
	8		D		21:21:11				21:21:20			9
	10		D		21:21:13				21:21:22			9
	11		D		21:21:14				21:21:24			10
	12		D		21:21:15				21:21:26			11
	13		D		21:21:16				21:21:28			12
	14		D		21:21:17				21:21:30			13
	9		L		21:21:12				21:21:32			20
	15		D		21:21:18				21:21:34			16
	16		D		21:21:19				21:21:36			17
	17		D		21:21:20				21:21:38			18
	22		D		21:21:25				21:21:40			15
	18		L		21:21:21				21:21:42			21
	41		E		21:21:44				21:21:44			0
	19		L		21:21:22				21:21:46			24
	20		L		21:21:23				21:21:48			25
	21		L		21:21:24				21:21:50			26
	23		L		21:21:26				21:21:52			26
	24		L		21:21:27				21:21:54			27
	28		L		21:21:31				21:21:56			25
	29		L		21:21:32				21:21:58			26
	30		L		21:21:33				21:22:0			27
	32		L		21:21:35				21:22:2			27
